original R;original G;original B;calibrated R ;calibrated G ;calibrated B ;H;S;V;NDVI_observed;NDVI_predicted
148;182;107;178;195;134;0.213114754098361;0.312820512820513;0.764705882352941;-0.0588235294117647;-0.097167253494
255;255;226;250;240;215;0.119047619047619;0.14;0.980392156862745;-0.403921568627451;-0.918120980263
226;255;166;222;238;164;0.202702702702703;0.310924369747899;0.933333333333333;-0.254901960784314;-0.281548887491
104;136;90;150;179;135;0.276515151515151;0.245810055865922;0.701960784313725;-0.145098039215686;0.009965568781
34;59;22;78;109;64;0.281481481481481;0.412844036697248;0.427450980392157;0.623529411764706;0.693380594254
19;32;11;51;74;44;0.294444444444444;0.405405405405405;0.290196078431373;0.717647058823529;0.766281783581
11;21;7;37;57;37;0.333333333333333;0.350877192982456;0.223529411764706;0.803921568627451;0.807476997375
85;139;61;126;180;109;0.293427230046948;0.394444444444444;0.705882352941177;0.458823529411765;0.552548527718
61;100;36;106;151;82;0.27536231884058;0.456953642384106;0.592156862745098;0.576470588235294;0.630890607834
146;175;102;179;191;131;0.2;0.31413612565445;0.749019607843137;-0.12156862745098;-0.115024536848
77;95;52;132;151;102;0.231292517006803;0.324503311258278;0.592156862745098;0.0509803921568628;0.123165071011
144;176;93;178;192;125;0.201492537313433;0.348958333333333;0.752941176470588;0.00392156862745097;-0.088637024164
113;143;72;161;182;119;0.222222222222222;0.346153846153846;0.713725490196078;0.0745098039215686;0.050879448652
131;160;87;172;187;125;0.206989247311828;0.331550802139037;0.733333333333333;-0.0274509803921569;-0.013097316027
160;237;62;169;219;84;0.228395061728395;0.616438356164384;0.858823529411765;0.443137254901961;0.330833435059
108;164;38;152;185;79;0.218553459119497;0.572972972972973;0.725490196078431;0.498039215686275;0.319174706936
44;69;18;94;119;60;0.23728813559322;0.495798319327731;0.466666666666667;0.6;0.604652762413
74;111;37;123;161;85;0.25;0.472049689440994;0.631372549019608;0.466666666666667;0.505680978298
77;120;38;124;167;86;0.255144032921811;0.485029940119761;0.654901960784314;0.498039215686275;0.524685740471
70;109;33;118;158;80;0.252136752136752;0.493670886075949;0.619607843137255;0.513725490196078;0.551830530167
11;18;7;38;53;37;0.322916666666667;0.30188679245283;0.207843137254902;0.741176470588235;0.803366303444
8;15;6;33;48;35;0.355555555555556;0.3125;0.188235294117647;0.780392156862745;0.826494097710
16;16;13;52;52;46;0.166666666666667;0.115384615384615;0.203921568627451;0.176470588235294;0.120278418064
95;140;45;143;179;92;0.235632183908046;0.486033519553073;0.701960784313725;0.419607843137255;0.370526671410
109;167;45;152;187;87;0.225;0.53475935828877;0.733333333333333;0.474509803921569;0.292108654976
98;154;50;142;185;95;0.246296296296296;0.486486486486487;0.725490196078431;0.458823529411765;0.353899836540
135;161;82;176;186;121;0.192307692307692;0.349462365591398;0.729411764705882;-0.0823529411764706;-0.110382884741
145;172;85;181;190;119;0.187793427230047;0.373684210526316;0.745098039215686;-0.0823529411764706;-0.127497881651
222;249;124;221;229;127;0.179738562091503;0.445414847161572;0.898039215686275;-0.286274509803922;-0.349902004004
165;187;103;192;195;126;0.173913043478261;0.353846153846154;0.764705882352941;-0.309803921568627;-0.407642573118
47;62;33;100;114;77;0.22972972972973;0.324561403508772;0.447058823529412;0.27843137254902;0.428678423166
25;35;15;65;81;51;0.255555555555556;0.37037037037037;0.317647058823529;0.466666666666667;0.567773282528
72;115;35;119;163;82;0.257201646090535;0.496932515337423;0.63921568627451;0.505882352941176;0.586476624012
53;66;33;109;118;78;0.204166666666667;0.338983050847458;0.462745098039216;0.231372549019608;0.329569756985
93;114;58;148;168;111;0.225146198830409;0.339285714285714;0.658823529411765;0.0352941176470587;0.044592738152
26;48;15;63;96;53;0.294573643410853;0.447916666666667;0.376470588235294;0.725490196078431;0.770506978035
40;67;26;86;118;70;0.277777777777778;0.406779661016949;0.462745098039216;0.6;0.661876797676
50;88;31;93;139;75;0.286458333333333;0.460431654676259;0.545098039215686;0.615686274509804;0.693812012672
18;29;11;50;70;44;0.294871794871795;0.371428571428571;0.274509803921569;0.694117647058824;0.760818541050
